label,sampler,L,V,sweeps,wall_seconds,tv,nll,ffbs_floor_tv,ffbs_floor_nll,n_chains
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,20,27.051421999931335,0.5283027775865025,414.20556640625,0.062129863310483875,412.55419921875,25
random L=128 V=65 s=1.0,thrml_gibbs,128,65,50,67.62855499982834,0.06258961933310866,411.4148864746094,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,50,84.65682833339088,0.061434538190705545,411.93902587890625,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,50,84.65682833339088,0.31834987479536725,412.4607849121094,0.062129863310483875,412.55419921875,78
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,50,67.62855499982834,0.35087952040914805,413.4916076660156,0.062129863310483875,412.55419921875,62
random L=128 V=65 s=1.0,thrml_gibbs,128,65,100,135.25710999965668,0.062396086053254744,411.8476257324219,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,100,169.31365666678175,0.061858251503507294,412.1563720703125,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,100,169.31365666678175,0.22351806016407194,412.6801452636719,0.062129863310483875,412.55419921875,155
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,100,135.25710999965668,0.25022765967702665,412.8491516113281,0.062129863310483875,412.55419921875,124
random L=128 V=65 s=1.0,thrml_gibbs,128,65,200,270.51421999931335,0.06315230957781615,412.4749450683594,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,200,338.6273133335635,0.06253037419006205,412.10321044921875,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,200,338.6273133335635,0.1589157972113625,411.1913757324219,0.062129863310483875,412.55419921875,311
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,200,270.51421999931335,0.1796888240138056,412.1384582519531,0.062129863310483875,412.55419921875,248
random L=128 V=65 s=1.0,thrml_gibbs,128,65,500,676.2855499982834,0.061882814353677984,411.7415771484375,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,jax_gibbs,128,65,500,846.5682833339088,0.06296956665222614,411.4541320800781,0.062129863310483875,412.55419921875,2000
random L=128 V=65 s=1.0,ffbs_at_jax_gibbs_time,128,65,500,846.5682833339088,0.09979617243053165,411.83819580078125,0.062129863310483875,412.55419921875,777
random L=128 V=65 s=1.0,ffbs_at_thrml_gibbs_time,128,65,500,676.2855499982834,0.11203286990122979,412.3162536621094,0.062129863310483875,412.55419921875,621
